,Team,AT,HASH
0,Abilene Christian,@ACUFootball,#ACU
1,Air Force,@AF_Football,#AFFalcons
2,Akron,@ZipsFB,#GoZips
3,Alabama,@AlabamaFTBL,#RollTide
4,Alabama A&M,@AAMUFB,#AAMU
5,Alabama State,@BamaStateFB,#myASU
6,Albany,@UAlbanyFootball,#GreatDanes
7,Alcorn State,@BravesSports,#AlcornState
8,American,,
9,Appalachian State,@AppState_FB,#AppState
10,Arizona,@ArizonaFBall,#BearDown
11,Arizona State,@ASUFootball,#SunDevils
12,Arkansas,@RazorbackFB,#GoHogs
13,Arkansas State,@AStateFB,#RedWolves
14,Arkansas-Pine Bluff,@UAPBLionsRoar,#UAPB
15,Army,@ArmyWP_Football,#GoArmy
16,Auburn,@AuburnFootball,#WarEagle
17,Austin Peay,@AustinePeayFB,#AustinPeay
18,Ball State,@BallStateFB,#BallState
19,Baylor,@BUFootball,#Baylor
20,Bellarmine,,#Bellarmine
21,Belmont,,
22,Bethune-Cookman,@BCUGridiron,#BCU
23,Binghamton,,
24,Boise State,@BroncoSportsFB,#BoiseState
25,Boston College,@BCFootball,#WeAreBC
26,Boston University,,#GoBU
27,Bowling Green,@BG_Football,#BowlingGreen
28,Bradley,,
29,Brown,,
30,Bryant,@BryantUFootball,#Bryant
31,Bucknell,@Bucknell_FB,#Bucknell
32,Buffalo,@UBFootball,#UBuffalo
33,Butler,@ButlerUFootball,#Butler
34,BYU,@BYUFootball,#BYU
35,Cal Poly,@CalPolyFootball,#CalPoly
36,Cal State-Bakersfield,,
37,Cal State-Fullerton,,
38,Cal State-Northridge,,
39,California,@CalFootball,#Cal
40,California Baptist,,
41,Campbell,@GoCamelsFB,#Campbell
42,Canisius,,
43,Central Arkansas,@UCA_Football,#CentralArkansas
44,Central Connecticut State,@CCSUFootball,#CCSU
45,Central Florida,@UCF_Football,#UCF
46,Central Michigan,@CMU_Football,#CentralMichigan
47,Charleston,,
48,Charleston Southern,@CSUFB,#CSUBucs
49,Charlotte,@CharlotteFTBL,#Charlotte
50,Chattanooga,@GoMocsFB,#GoMocs
51,Chicago State,,
52,Cincinnati,@GoBearcatsFB,#Bearcats
53,Clemson,@ClemsonFB,#Clemson
54,Cleveland State,,
55,Coastal Carolina,@CoastalFootball,#CCU
56,Colgate,@ColgateFB,#Colgate
57,Colorado,@RunRalphieRun,#CUBuffs
58,Colorado State,@CSUFootball,#CSURams
59,Columbia,@ColumbiaLionsFB,#Columbia
60,Connecticut,@UConnFootball,#UConn
61,Coppin State,,
62,Cornell,@BigRed_Football,#Cornell
63,Creighton,,
64,Dartmouth,@DartFootball,#Dartmouth
65,Davidson,@DavidsonFB,#Davidson
66,Dayton,@DaytonFootball,#GoFlyers
67,Delaware,@DelawareFB,#BlueHens
68,Delaware State,@DelSt_Football,#DelState
69,Denver,,
70,DePaul,,
71,Detroit,,
72,Dixie State,@DixieState_FB,##DixieBlazers
73,Drake,@DrakeBulldogsFB,#Drake
74,Drexel,,
75,Duke,@DukeFootball,#Duke
76,Duquesne,@DuqFB,#Duquesne
77,East Carolina,@ECUPiratesFB,#ECU
78,East Tennessee State,@ETSUFootball,#ETSU
79,Eastern Illinois,@EIUPantherFB,#EIU
80,Eastern Kentucky,@EKUFootball,#EKU
81,Eastern Michigan,@EMUFB,#EMU
82,Eastern Washington,@EWUFootball,#EWU
83,Elon,@ElonFootball,#Elon
84,Evansville,,
85,Fairfield,,
86,Fairleigh-Dickinson,@FDUFootball,#FDU
87,Florida,@GatorsFB,#Gators
88,Florida A&M,@FAMUAthletics,#FAMU
89,Florida Atlantic,@FAU_Football,#FAU
90,Florida Gulf Coast,,
91,Florida International,@FIUFootball,#FIU
92,Florida State,@FSUFootball,#Noles
93,Fordham,@FordhamFootball,#Fordham
94,Fresno State,@FresnoStateFB,#FresnoState
95,Furman,@PaladinFootball,#Furman
96,Gardner-Webb,@GWUFootball,#GardnerWebb
97,George Mason,,
98,George Washington,,
99,Georgetown,@HoyasFB,#Georgetown
100,Georgia,@FootballUGA,#GoDawgs
101,Georgia Southern,@GSAthletics_FB,#GeorgiaSouthern
102,Georgia State,@GeorgiaStateFB,#GeorgiaState
103,Georgia Tech,@GeorgiaTechFB,#GATech
104,Gonzaga,,
105,Grambling,@GSU_Tigers,#Grambling
106,Grand Canyon,,
107,Green Bay,,
108,Hampton,@Hampton_FB,#Hampton
109,Hartford,,
110,Harvard,@HarvardFootball,#Harvard
111,Hawaii,@HawaiiFootball,#HawaiiFB
112,High Point,,
113,Hofstra,,
