,MAX,MIN
0,6,4
1,8,0
2,6,3
3,6,2
4,0,0
5,7,5
6,4,1
7,3,0
8,6,0
9,6,1
10,2,1
11,3,1
12,5,4
13,6,0
14,4,3
15,3,0
16,2,1
17,6,1
18,4,2
19,6,0
20,6,0
21,6,0
22,4,1
23,6,0
24,6,0
25,5,1
26,6,1
27,5,0
28,6,0
29,1,0
30,6,0
31,1,1
32,2,1
33,5,0
34,1,0
35,4,1
36,6,0
37,4,0
38,6,2
39,6,0
40,6,0
41,1,0
42,6,0
43,3,2
44,6,0
45,3,2
46,2,0
47,5,3
48,1,0
49,3,0
50,8,0
51,4,0
52,4,0
53,1,0
54,6,0
55,2,0
56,2,0
57,1,0
58,6,0
59,4,1
60,1,0
61,1,0
62,1,0
63,1,0
64,5,0
65,8,4
66,1,0
67,7,0
68,3,0
69,4,0
70,13,0
71,0,0
72,2,0
73,4,0
74,1,0
75,0,0
76,9,0
77,2,0
78,5,0
79,0,0
80,2,1
81,2,0
82,1,0
83,3,0
84,3,0
85,0,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,0,0
92,2,0
93,6,0
94,0,0
95,1,0
96,0,0
97,2,0
98,3,0
99,0,0
100,1,0
101,7,0
102,1,0
103,7,0
104,1,0
105,5,0
106,0,0
107,2,0
108,3,3
109,3,1
110,0,0
111,0,0
112,0,0
113,5,1
114,0,0
115,1,0
116,2,1
117,5,0
118,6,0
119,0,0
120,1,0
121,8,0
122,2,0
123,3,0
124,3,0
125,13,0
126,3,0
127,5,0
128,2,1
129,8,0
130,8,0
131,1,0
132,0,0
133,2,0
134,9,1
135,3,0
136,2,0
137,7,0
138,7,0
139,2,0
140,3,1
141,1,0
142,2,0
143,2,0
144,1,0
145,1,0
146,2,2
147,1,0
148,4,0
149,4,0
150,0,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,10,0
157,0,0
158,0,0
159,2,1
160,1,0
161,0,0
162,2,0
163,1,0
164,9,0
165,5,0
166,2,0
167,5,0
168,5,0
169,3,0
170,7,0
171,9,0
172,7,0
173,2,0
174,1,0
175,9,0
176,5,0
177,5,0
178,7,0
179,8,0
180,1,0
181,1,0
182,6,0
183,2,0
184,8,0
185,8,0
186,9,0
187,2,0
188,10,0
189,2,0
190,3,0
191,1,1
192,2,1
193,1,0
194,11,0
195,2,0
196,1,0
197,1,0
198,3,0
199,2,1
200,40,5
201,60,0
202,94,0
203,23,1
204,59,0
205,4,0
206,59,0
207,20,0
208,12,0
209,14,4
210,26,6
211,37,0
212,54,7
213,14,0
214,14,1
215,44,4
216,61,0
217,19,0
218,54,2
219,18,6
220,39,6
221,14,4
222,11,2
223,24,0
224,92,0
225,39,0
226,25,0
227,30,0
228,35,1
229,49,0
230,18,0
231,26,7
232,60,0
233,21,0
234,93,0
235,14,6
236,64,0
237,3,0
238,38,7
239,14,11
240,6,0
241,5,1
242,6,6
243,23,2
244,59,0
245,31,0
246,4,0
247,23,5
248,96,0
249,22,2
250,35,5
251,63,0
252,35,0
253,43,5
254,15,0
255,4,0
256,76,10
257,113,0
258,31,0
259,50,0
260,42,0
261,11,0
262,67,0
263,140,0
264,58,0
265,21,0
266,61,0
267,16,0
268,23,0
269,46,0
270,30,0
271,20,6
272,57,0
273,26,0
274,34,4
275,29,0
276,33,0
277,31,0
278,18,4
279,36,12
280,51,0
281,24,4
282,18,0
283,36,6
284,16,16
285,52,0
286,52,0
287,14,12
288,0,0
289,94,0
290,42,0
291,54,0
292,80,0
293,55,0
294,68,6
295,76,0
296,18,0
297,24,8
298,6,5
299,16,12
300,57,0
301,54,10
302,71,0
303,0,0
304,80,10
305,60,0
306,51,0
307,162,0
308,52,0
309,10,5
310,30,22
311,64,0
312,20,4
313,25,18
314,23,18
315,10,0
316,76,0
317,86,0
318,53,5
319,35,0
320,6,6
321,23,9
322,6,5
323,76,10
324,61,0
325,61,0
326,64,0
327,18,0
328,14,14
